car_description,car_image,car_left,car_name,car_right
" With 0 to 100 km/h (62mph) in 8.3 seconds, a maximum top speed of 112 mph (180 km/h), a curb weight of 4387 lbs (1990 kgs), the Highlander 2.5 Hybrid AWD has a naturally-aspirated Inline 4 cylinder engine, Hybrid / Petrol motor., This engine produces a maximum power of 177 PS (175 bhp - 130 kW) at 6000 rpm and a maximum torque of 221 Nm (163 lb.ft) at 4400 rpm. The power is transmitted to the road by the all wheel drive (AWD) with a 1 speed Auto CVT gearbox.,On the topic of chassis details responsible for road holding, handling behavior and ride comfort, the Highlander has Independent McPherson. Coil Springs. Anti-roll bar. front suspension and Independent Double Wishbones. Coil Springs. Anti-roll bar. rear suspension. Stock tire sizes are 235 / 65 on 18 inch rims at the front, and 235 / 65 on 18 inch rims at the rear. For stopping power, the Highlander 2.5 Hybrid AWD braking system includes Vented Discs at the front and Vented Discs at the rear.,The Highlander model is a SUV / TT car manufactured by Toyota, with 5 doors and 7 seats, sold new from year ,. ",//www.ultimatespecs.com/cargallery/48/11213/w400_Toyota-Highlander-15.jpg, Engine type - Number of cylinders : ,Toyota Highlander 2.5 Hybrid AWD,
,,,, Inline 4 
,, Engine Code : ,,
,,,, - 
,, Fuel type : ,,
,,,, Hybrid / Petrol 
,, Fuel System : ,,
,,,, Multipoint Injection 
,, Engine Alignment : ,,
,,,, Transverse 
,, Engine Position : ,,
,,,, Front  
,, Engine size - Displacement - Engine capacity : ,,
,,,, 2487 cm3 or 151.8 cu-in 
,, Bore x Stroke : ,,
,,,," 87.5 x 103.5 mm,3.43 x 4.06 inches "
,, Number of valves : ,,
,,,, 16 Valves 
,, Aspiration : ,,
,,,, - 
,, Compression Ratio : ,,
,,,, 14.0 
,, Maximum power - Output - Horsepower : ,,
,,,, 177 PS or 175 bhp or 130 kW @ 6000 rpm 
,, Maximum torque : ,,
,,,, 221 Nm or 163 lb.ft @ 4400 rpm 
,, Drive wheels - Traction - Drivetrain : ,,
,,,, AWD 
,, Transmission Gearbox - Number of speeds : ,,
,,,," , "
,,"
Combined power (Electric + Combustion) :
",,
,,,,"
248 PS or 245 bhp or 182 kW "
,,"
Combined torque (Electric + Combustion) :
",,
,,,,"
270 Nm or 199 lb.ft "
,,Number of electric engines:,,
,,,,1
,,Electric engine type:,,
,,,,Permanent magnet AC synchronous motor
,,Fuel Consumption - Economy - Low WLTP:,,
,,,,"
6.6 L/100km ,
43 mpg UK /
36 mpg US
"
,,Fuel Consumption - Economy - Medium WLTP:,,
,,,,"
5.8 L/100km ,
49 mpg UK /
41 mpg US
"
,,Fuel Consumption - Economy - High WLTP:,,
,,,,"
5.8 L/100km ,
49 mpg UK /
41 mpg US
"
,,Fuel Consumption - Economy - Extra high WLTP:,,
,,,,"
7.7 L/100km ,
37 mpg UK /
31 mpg US
"
,,Fuel Consumption - Economy - Combined WLTP:,,
,,,,"
6.6 L/100km ,
43 mpg UK /
36 mpg US
"
,, Range (WLTP): ,,
,,,, 984 Km or 612 miles 
,, Fuel Tank Capacity : ,,
,,,," 65 L , 14.3 UK gallons, 17.2 US gallons "
,, CO2 emissions : ,,
,,,, - g/Km (Toyota) 
,, CO2 emissions WLTP : ,,
,,,, 149 g/Km (Toyota) 
,, Top Speed : ,,
,,,, 180 km/h or 112 Mph 
,, Acceleration 0 to 100 km/h (0 to 62 mph) : ,,
,,,, 8.3 s 
,, Body : ,,
,,,, SUV / TT 
,, Num. of Doors : ,,
,,,, 5 
,, Wheelbase : ,,
,,,, 285 cm or 112.2 inches 
,, Length : ,,
,,,, 496.6 cm or 195.51 inches 
,, Width : ,,
,,,, 193 cm or 75.98 inches 
,, Height : ,,
,,,, 175.5 cm or 69.09 inches 
,, Front Axle : ,,
,,,, 165.9 cm or 65.31 inches 
,, Rear Axle : ,,
,,,, 166.2 cm or 65.43 inches 
,, Ground clearance : ,,
,,,, 20.2 cm / 7.95 inches 
,, Ground clearance : ,,
,,,, 20.2 cm / 7.95 inches 
,, Max. Towing Capacity Weight : ,,
,,,, 2000 Kg or 4409.24 lbs 
,, Num. of Seats : ,,
,,,, 7 
,, Aerodynamic drag coefficient - Cx : ,,
,,,, - 
,, Front Brakes - Disc dimensions : ,,
,,,, Vented Discs (- mm) 
,, Rear Brakes - Dics dimensions : ,,
,,,, Vented Discs (- mm) 
,, Front Tyres - Rims dimensions : ,,
,,,, 235/65 R18 
,, Rear Tyres - Rims dimensions : ,,
,,,, 235/65 R18 
,, Turning radius : ,,
,,,, 11.4 m / 37.4 feet 
,, Curb Weight : ,,
,,,, 1990 kg OR 4387 lbs 
,, Weight-Power Output Ratio : ,,
,,,, 8 kg/hp 
,, Trunk / Boot capacity : ,,
,,,, 865-1909 L 
,, Front Suspension : ,,
,,,, Independent McPherson. Coil Springs. Anti-roll bar. 
,, Rear Suspension : ,,
,,,, Independent Double Wishbones. Coil Springs. Anti-roll bar. 
